"Outcome","HomeTeam","AwayTeam","month","year","GamesPlayedHome","GamesWonHome","GamesLostHome","GamesDrawnHome","LongestWinningStreakHome","LongestLosingStreak Home","TeamsPlayedHome","TeamsBeatenHome","TeamsBeatenByHome","TeamsDrawnWithHome","GroundsPlayedAtHome","LargestPointsForHome","LargestPointsAgainstHome","LargestWinningMarginHome","LargestLosingMarginHome","TotalPointsForHome","AvgPointsForHome","TotalPointsAgainstHome","AvgPointsAgainstHome","TotalPointsDifferenceHome","AvgPointsDifferenceHome","RankHome","RankScoreHome","RankChangeHome","GamesPlayedAway","GamesWon Away","GamesLostAway","GamesDrawnAway","LongestWinning StreakAway","LongestLosingStreakAway","TeamsPlayedAway","TeamsBeatenAway","TeamsBeatenByAway","TeamsDrawnWithAway","GroundsPlayedAtAway","LargestPointsForAway","LargestPointsAgainstAway","LargestWinningMarginAway","LargestLosingMarginAway","TotalPointsForAway","AvgPointsForAway","TotalPointsAgainstAway","AvgPointsAgainstAway","TotalPointsDifferenceAway","AvgPointsDifferenceAway","RankAway","RankScoreAway","RankChangeAway"
"2131","loose","Scotland","England",2,2012,546.899256984723,228.357329694075,291.238333522878,27.3035937677698,4.96428977595815,14.0654876985481,19.8571591038326,19.0297774745062,12.4107244398954,5.79167140528451,56.2619507941923,82.7381629326358,61.2262405701505,76.1191098980249,-47.9881345009288,7501.04185147276,11.3516759543576,8230.79244853861,12.4520935213617,-729.750597065848,-1.10041756700406,8.27381629326358,62.781718033284,0,582.476667045756,312.750255885363,228.357329694075,41.3690814663179,9.9285795519163,5.79167140528451,18.2023958451799,18.2023958451799,8.27381629326358,6.61905303461086,69.5000568634141,110.869138329732,62.8810038288032,110.869138329732,-62.8810038288032,9919.47835399371,14.0903091474279,7539.10140642177,10.7063182834831,2380.37694757193,3.3839908639448,3.30952651730543,70.3605337579135,0.827381629326358
"2451","win","France","Italy",2,2012,596.542154744304,330.952651730543,239.113290875317,26.4762121384435,9.10119792258994,14.8928693278744,24.8214488797907,23.166685621138,13.2381060692217,7.44643466393722,101.767940407142,81.9107813033094,50.4702793889078,76.1191098980249,-42.1964630956443,11035.616171955,15.3065601425376,8808.30482580841,12.2204266651503,2227.31134614656,3.08613347738732,5.79167140528451,67.1171977709542,0,333.434796618522,139.827495356155,185.333484969104,8.27381629326358,8.27381629326358,10.7559611812427,33.0952651730543,27.3035937677698,22.3393039918117,6.61905303461086,120.797717881648,86.0476894499412,83.5655445619622,79.4286364153304,-83.5655445619622,5974.52274536563,14.8266787975283,7330.60123583153,18.1941220288866,-1356.0784904659,-3.36744323135828,13.2381060692217,58.355226316388,0
"3329","loose","Ireland","Wales",2,2012,540.317335759506,232.510216460063,282.98396451723,24.8231547822131,8.27438492740438,9.10182342014481,19.0310853330301,17.3762083475492,10.7567004056257,6.6195079419235,68.6773948974563,68.6773948974563,54.6109405208689,66.195079419235,-49.6463095644262,7718.3462602828,11.8158216763334,7694.35054399333,11.7827241366238,23.9957162894727,0.0330975397096175,1.65487698548087,69.8358087872929,0,563.485613556238,290.430910951894,249.886424807612,23.1682777967322,9.10182342014481,9.10182342014481,19.8585238257705,19.8585238257705,12.4115773911066,6.6195079419235,68.6773948974563,84.3987262595246,79.434095303082,81.0889722885629,-68.6773948974563,9545.33045225369,14.016808067023,8498.62075893703,12.4777724705258,1046.70969331665,1.53903559649721,4.96463095644262,70.0261196406232,0
"2130","loose","Italy","England",2,2012,333.48062853027,139.846715190113,185.358959778612,8.27495356154517,8.27495356154517,10.7574396300087,33.0998142461807,27.3073467530991,22.342374616172,6.61996284923613,120.814321998559,86.0595170400697,83.5770309716062,79.4395541908336,-83.5770309716062,5975.34396679177,14.8287167822889,7331.60885552902,18.1966228818378,-1356.26488873725,-3.36790609954888,13.2399256984723,58.3632474695781,0,582.55673073278,312.793244626407,228.388718298647,41.3747678077258,9.9299442738542,5.79246749308162,18.2048978353994,18.2048978353994,8.27495356154517,6.61996284923613,69.5096099169794,110.884377724705,62.8896470677433,110.884377724705,-62.8896470677433,9920.8418249365,14.0922459153114,7540.13768527996,10.7077899086394,2380.70413965655,3.38445600667197,3.30998142461807,70.3702050873801,0.827495356154517
"5151","win","Wales","Scotland",2,2012,563.537245536222,290.457523029683,249.909321809015,23.1704006975245,9.10265741688464,9.10265741688464,19.860343455021,19.860343455021,12.4127146593882,6.62011448500701,68.6836877819478,84.4064596838394,79.4413738200842,81.0964024413359,-68.6836877819478,9546.20508738011,14.0180924220024,8499.39948443838,12.4789158042382,1046.80560294173,1.53917661776413,4.96508586375526,70.0325361082679,0,546.986959323704,228.393949732742,291.285037340309,27.3079722506539,4.96508586375526,14.0677432806399,19.860343455021,19.0328291443952,12.4127146593882,5.79260017438114,56.2709731225596,82.7514310625877,61.2360589863149,76.1313165775806,-47.9958300163008,7502.2447401342,11.353496341787,8232.11236210622,12.4540903749194,-729.867621972023,-1.10059403313242,8.27514310625877,62.7917858902915,0
"1749","loose","England","Wales",2,2012,582.570074680617,312.800409416581,228.393949732742,41.3757155312938,9.93017172751052,5.79260017438114,18.2053148337693,18.2053148337693,8.27514310625877,6.62011448500701,69.5112020925736,110.886917623867,62.8910876075666,110.886917623867,-62.8910876075666,9921.06907009364,14.0925687099587,7540.31039842299,10.7080351794988,2380.75867167065,3.38453353045984,3.31005724250351,70.3718169756246,0.827514310625877,563.537245536222,290.457523029683,249.909321809015,23.1704006975245,9.10265741688464,9.10265741688464,19.860343455021,19.860343455021,12.4127146593882,6.62011448500701,68.6836877819478,84.4064596838394,79.4413738200842,81.0964024413359,-68.6836877819478,9546.20508738011,14.0180924220024,8499.39948443838,12.4789158042382,1046.80560294173,1.53917661776413,4.96508586375526,70.0325361082679,0
"3328","win","Ireland","Italy",2,2012,540.540126615869,232.606088176201,283.10064824292,24.8333901967474,8.27779673224914,9.10557640547405,19.038932484173,17.3833731377232,10.7611357519239,6.62223738579931,68.7057128776678,68.7057128776678,54.6334584328443,66.2223738579931,-49.6667803934948,7721.528791842,11.8206937336518,7697.52318131847,11.7875825467228,24.0056105235225,0.0331111869289965,1.65555934644983,69.8646044201827,0,333.59520830964,139.89476477501,185.422646802381,8.27779673224914,8.27779673224914,10.7611357519239,33.1111869289966,27.3167292164222,22.3500511770727,6.62223738579931,120.855832290837,86.089086015391,83.6057469957163,79.4668486295917,-83.6057469957163,5977.3970203571,14.8338117441905,7334.12790477274,18.2028750142159,-1356.73088441563,-3.3690632700254,13.2444747715986,58.3833003525532,0
"2813","loose","Scotland","France",2,2012,547.237537435081,228.498578414648,291.418476818682,27.3204822017514,4.96736040031844,14.0741878009022,19.8694416012737,19.0415482012207,12.4184010007961,5.79525380037151,56.2967512036089,82.7893400053073,61.2641116039274,76.1661928048827,-48.0178172030782,7505.68156488116,11.3586974487282,8235.88354372796,12.4597956707987,-730.20197884681,-1.10109822207059,8.27893400053073,62.8205511960271,0,596.911141438265,331.157360021229,239.261192615338,26.4925888016983,9.1068274005838,14.9020812009553,24.8368020015922,23.181015201486,13.2462944008492,7.45104060047765,101.830888206528,81.9614466052542,50.5014974032374,76.1661928048827,-42.2225634027067,11042.4421699079,15.3160279009818,8813.75313696501,12.2279855187839,2228.68903294287,3.08804238219796,5.79525380037151,67.1587126123053,0
"3244","loose","Romania","Georgia",3,2012,336.952613821601,198.694416012737,128.323477008226,9.93472080063687,10.7626142006899,9.93472080063687,29.8041624019106,24.8368020015922,21.5252284013799,7.45104060047765,110.937715607112,82.7893400053073,110.937715607112,82.7893400053073,-110.937715607112,7488.29580348004,18.3957913491793,5739.78494256795,14.0990246029038,1748.51086091209,4.29676674627545,14.0741878009022,54.8727745555177,0,129.979263808332,81.9614466052542,43.0504568027598,4.96736040031844,7.45104060047765,5.79525380037151,30.6320558019637,20.6973350013268,20.6973350013268,4.13946700026536,34.7715228022291,81.1335532052011,69.5430456044581,78.6498730050419,-64.5756852041397,3148.47860040183,20.0515781492854,2301.54365214754,14.6619921149399,846.934948254293,5.39786496834603,11.590507600743,57.4226862276811,0
"3327","win","Ireland","Scotland",3,2012,540.614390234656,232.638045414913,283.139542818151,24.8368020015922,8.27893400053073,9.1068274005838,19.0415482012207,17.3857614011145,10.7626142006899,6.62314720042458,68.715152204405,68.715152204405,54.6409644035028,66.2314720042458,-49.6736040031844,7722.58963569506,11.8223177527579,7698.58072709352,11.7892020167558,24.0089086015391,0.0331157360021229,1.65578680010615,69.8742029644793,0,547.237537435081,228.498578414648,291.418476818682,27.3204822017514,4.96736040031844,14.0741878009022,19.8694416012737,19.0415482012207,12.4184010007961,5.79525380037151,56.2967512036089,82.7893400053073,61.2641116039274,76.1661928048827,-48.0178172030782,7505.68156488116,11.3586974487282,8235.88354372796,12.4597956707987,-730.20197884681,-1.10109822207059,8.27893400053073,62.8205511960271,0
